Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
best3deals,com.group5.best3deals.flyer.dto.response,FlyerProductResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; flyerId; productId; originalPrice; discountedPrice
best3deals,com.group5.best3deals.flyer.dto.response,FlyerProductResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.flyer.dto.response,FlyerProductResponse,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; flyerId; productId; originalPrice; discountedPrice
best3deals,com.group5.best3deals.flyer.dto.response,FlyerResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.flyer.dto.response,FlyerResponse,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; description; imageUrl; storeId; products
best3deals,com.group5.best3deals.location.dto.request,LocationPutRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: latitude; longitude
best3deals,com.group5.best3deals.location.dto.request,LocationRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: latitude; longitude
best3deals,com.group5.best3deals.location.dto.response,LocationResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; latitude; longitude; timestamp
best3deals,com.group5.best3deals.location.dto.response,LocationResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.post.controller,PostController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.post.dto.request,CommentRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: content; postId
best3deals,com.group5.best3deals.post.dto.request,PostPutRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: title; content; imgUrl; originalPrice; discountedPrice; isValid; storeId; endDate
best3deals,com.group5.best3deals.post.dto.request,PostRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: title; content; imgUrl; originalPrice; discountedPrice; storeId; endDate
best3deals,com.group5.best3deals.post.dto.request,ReactionRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: reactionType; postId
best3deals,com.group5.best3deals.post.dto.response,CommentResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; content; userId; postId; createdAt
best3deals,com.group5.best3deals.post.dto.response,CommentResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.post.dto.response,CommentResponse,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; content; userId; postId; createdAt
best3deals,com.group5.best3deals.post.dto.response,PostResponse,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; title; content; imgUrl; originalPrice; discountedPrice; isValid; userId; storeId; endDate; createdAt; reactions
best3deals,com.group5.best3deals.post.dto.response,ReactionResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; reactionType; userId; postId
best3deals,com.group5.best3deals.post.dto.response,ReactionResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.post.Enum,ReactionType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
best3deals,com.group5.best3deals.product.controller,ProductController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.product.dto.request,ProductPutRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; description; imgUrl; price; quantityInStock; categoryId; storeId
best3deals,com.group5.best3deals.product.dto.request,ProductRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; description; imgUrl; price; quantityInStock; categoryId; storeId
best3deals,com.group5.best3deals.product.dto.response,ProductResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.product.dto.response,ProductResponse,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; description; imgUrl; price; quantityInStock; categoryId; storeId
best3deals,com.group5.best3deals.store.controller,StoreController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.store.dto.request,StorePutRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; address; imgUrl; location; brandId
best3deals,com.group5.best3deals.store.dto.request,StorePutRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; address; imgUrl; location; brandId
best3deals,com.group5.best3deals.store.dto.request,StoreRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; address; imageUrl; location; brandId
best3deals,com.group5.best3deals.store.dto.request,StoreRequest,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: name; address; imageUrl; location; brandId
best3deals,com.group5.best3deals.store.dto.response,StoreResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.store.dto.response,StoreResponse,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; name; address; imgUrl; location; brandId
best3deals,com.group5.best3deals.user.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.user.dto,UpdateUserDto,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: firstName; lastName; email; phoneNumber; address
best3deals,com.group5.best3deals.user.dto,UpdateUserDto,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: firstName; lastName; email; phoneNumber; address
best3deals,com.group5.best3deals.user.service,ForgotPasswordService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.wishlist.controller,WishlistController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
best3deals,com.group5.best3deals.wishlist.dto.request,WishlistRequest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: productId
best3deals,com.group5.best3deals.wishlist.dto.response,WishlistResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: id; productId; createdAt
best3deals,com.group5.best3deals.wishlist.dto.response,WishlistResponse,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
